day,avgPlayersAlive,avgEligiblePortal,avgInfluence,avgBuildingInfluence,avgMilitaryInfluence,avgCouncilInfluence,avgSocietyInfluence,avgQuestInfluence,avgWonderInfluence,avgTribeInfluence,avgTroops,avgVillages
15,50,0,143.82,71.91,44.95,0,26.96,0,0,0,400.15,1.61
30,50,0,361.97,175.11,89.59,17.38,60.21,19.69,0,0,640.8,3.21
60,50,2.88,986.83,434.25,179.32,154.38,138.83,40.43,39.63,0,1122.31,5.58
90,50,27,1534.46,751.96,268.76,188.13,229.98,56.03,39.63,0,1603.79,7.93
120,15.75,20.75,1430.54,555.5,269.21,189.75,251.43,56.03,41.38,67.25,849.05,5.56
