type,branch,hero,label,players,users,portalRatePct,day90EligibleRatePct,reached2500RatePct,avgInfluenceD90,avgInfluenceD120,avgEtaHours,avgVillagesLostToHorde,trailDeathRatePct,adoptionRatePct,avgHireDay,portalRateUsersPct,portalRateNonUsersPct,portalDeltaPp,avgEtaUsers,avgInfluenceD120Users
branch,urban,,,86,,25.58,72.09,2.33,1629.85,1436.49,98.69,2.06,12.79,,,,,,,
branch,tactical,,,100,,33,60,1,1561.96,1388.55,116.53,2.7,22,,,,,,,
branch,defensive,,,108,,36.11,25.93,2.78,1384.2,1472.78,121.62,1.4,21.3,,,,,,,
branch,flow,,,106,,30.19,62.26,1.89,1591.35,1422.27,49.81,2.26,11.32,,,,,,,
hero,,engineer,Engenheiro,,238,,,,,,,,,59.5,33.87,39.92,19.14,20.78,99.26,1570.43
hero,,marshal,Marechal,,201,,,,,,,,,50.25,42.58,45.27,17.59,27.69,101.31,1625.06
hero,,navigator,Navegador,,255,,,,,,,,,63.75,67.04,37.25,21.38,15.88,76.16,1492.59
hero,,intendente,Intendente,,218,,,,,,,,,54.5,43.23,44.95,15.38,29.57,86.5,1602.61
hero,,erudite,Erudito,,160,,,,,,,,,40,38.81,43.75,23.33,20.42,103.87,1599.44
